stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening D:\Antonio Persin\GitHub\BreakoutClone\BreakoutClone\x64\Release\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.14606] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.14615] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14626] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14636] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14645] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14654] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14663] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.14674] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.14684] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14693] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14701] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14709] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14717] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14726] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.14734] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14742] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.14750] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14759] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.14768] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14777] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14785] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14795] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14803] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14812] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.14820] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14828] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.14836] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14846] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.14854] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14864] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14871] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14879] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14887] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14898] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.14905] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14914] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.14922] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14930] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.14938] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14948] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14954] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14962] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.14971] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14981] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.14990] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15000] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.15009] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15016] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.15022] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.15030] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.15039] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.15051] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.15060] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15069] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.15078] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15088] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.15095] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15103] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.15111] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.15118] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.15125] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.15131] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.15140] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15147] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.15155] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15164] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.15172] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15181] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.15189] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.15199] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.15208] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.15218] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.15226] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15235] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.15243] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15252] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.15259] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15268] Score is : 589
